"city","year","severe","gdp","gdp_rate","invest","pop","green","passenger","con_area","car","power","ind_SO2","ind_smoke","ind_control","gas_control","mean_temp","rain","humid","wind_speed","pressure","sun","heating","coast","long","lat","height"
"西安",2014,5,5492.64,9.9,5903.98,862.75,42.5,19282,111.8218,170.3443,275.3213,62604,21985,10.37053693,7.94867501,15.2,660.2,61.25,2.325,968.7,1941.8,1,0,108.966666666667,34.4333333333333,410
"西安",2015,1,5801.2,8.2,5165.98,870.56,42.62,19625,133.9294,197.2289,284.4836,38691,16444,9.013142477,5.568834459,15.20833333,551.6,61.91666667,2.266666667,968.8083333,1795.9,1,0,108.966666666667,34.4333333333333,410
"西安",2016,7,6282.65,8.6,5191.36,883.21,43.15,15773,147.271,221.9569,312.0582,4914,2853,6.315168259,5.084520085,15.8,456,59.41666667,2.325833333,968.6416667,2140.3,1,0,108.966666666667,34.4333333333333,410
"西安",2017,15,7471.89,7.7,5119.3515,961.67,41.11,15601,158.4392,246.66,361.3693,3904,2758,5.878001489,3.76685608,15.60833333,649.1,59.33333333,2.144166667,969.1025,1966.1,1,0,108.966666666667,34.4333333333333,410
"兰州",2014,4,2000.94,10.4,1610.68,366.49,28,3871,69.58101,34.74,139.6678,67616,63801,5.151012313,4.038861927,7.7,355.6,59.08333333,1.616666667,832.8333333,2492.8,1,0,103.933333333333,36.35,1668.5
"兰州",2015,1,2095.99,9.1,1803.75,369.31,25.8,4067,76.1526,44.58,131.545,61240,45209,1.265560816,0.740816088,8.325,191,56.66666667,1.683333333,832.975,2511.5,1,0,103.933333333333,36.35,1668.5
"兰州",2016,6,2287.16,8.3,1990.95,370.55,27.39,4213,66.9121,54.58,119.5118,19192,15892,3.494092665,1.81057529,8.15,310,56.25,1.708333333,833.0833333,2734.5,1,0,103.933333333333,36.35,1668.5
"兰州",2017,9,2523.54,5.7,1315.35,372.96,30.93,4364,41.402,75.892617,301.88,20095,15786,2.535650618,1.092511338,7.991666667,303,57.33333333,1.585833333,833.5641667,2439.2,1,0,103.933333333333,36.35,1668.5
"西宁",2014,2,1065.78,13.5,1176.61,229.07,37.92,1587,27.497579,25.24011,495.65,66772,71622,3.470360176,2.267301981,5.716666667,446.5,59.08333333,1.033333333,770.725,2571.3,1,0,101.75,36.7166666666667,2295.2
"西宁",2015,2,1131.62,10.9,1295.95,231.08,38.92,1709,18.9355,27.764121,462.42,57696,61783,2.294093213,1.170455721,6.391666667,306.2,55.25,1.025,770.8833333,2590.1,1,0,101.75,36.7166666666667,2295.2
"西宁",2016,1,1248.16,9.8,1399.3,233.37,40.57,1950,33.463199,30.540533,462.42,23303,28348,4.657874666,4.124159861,6.625,444.1,56.91666667,1.110833333,770.9583333,2690.4,1,0,101.75,36.7166666666667,2295.2
"西宁",2017,4,1284.91,9.5,1600.03,235.5,41,2112,22.3527,33.594586,429.19,24120,24144,0.748233194,0.28573354,6.291666667,464,57.25,1.050833333,771.4875,2555.9,1,0,101.75,36.7166666666667,2295.2
"银川",2014,2,1388.6244,9.5,1371.92,212.89,40.46,3366,11.611141,44.7,223.77,67563,27473,13.77473425,11.10051844,10.69166667,169.2,49.66666667,1.708333333,890.4916667,2738.8,1,0,106.216666666667,38.4833333333333,1111.4
"银川",2015,1,1493.859,8.3,1540.88,216.41,40.89,3602,42.3136,51.77,266.35,64883,18795,5.335632141,4.258244882,10.725,227.1,50,1.691666667,890.5583333,2841.9,1,0,106.216666666667,38.4833333333333,1111.4
"银川",2016,1,1617.7071,8.1,1723.31,219.11,41.51,3447,10.82778,60.65,266.35,24366,11220,12.35518379,9.087697171,10.675,264.9,50,1.694166667,890.5916667,2845.7,1,0,106.216666666667,38.4833333333333,1111.4
"银川",2017,3,1803.2581,8,1719.05,222.54,41.86,2862,41.4419,69.67,308.92,13728,21023,4.479972288,3.724015257,10.975,211.3,47.41666667,1.5975,891.09,2894.5,1,0,106.216666666667,38.4833333333333,1111.4
"乌鲁木齐",2014,7,2264.68,10.5,1519.15,353,38.5,1055,68.04,55.78,149.87,71251,77076,7.741485487,6.813484072,7.366666667,297,54.16666667,1.959895033,912.1166667,2986.9,1,0,87.65,43.7833333333333,935
"乌鲁木齐",2015,7,2387.31,10.5,1708.39,355,40.3,2012,58.1302,64.77,161.64,58978,45969,4.045073138,3.430631649,8.783333333,408.9,57.75,1.959895033,911.8583333,2798.8,1,0,87.65,43.7833333333333,935
"乌鲁木齐",2016,14,2458.98,7.6,1607.78,351.96,40.9,1805,50.3892,77.71,215.04,40166,34024,3.720437734,2.013113568,8.408333333,387.1,60.08333333,1.959895033,912.1,2719.8,1,0,87.65,43.7833333333333,935
"乌鲁木齐",2017,15,2730.65,8.1,1996.8748,351.96,41.8,1467,51.1146,88.3,322.84,37483,39751,3.38195834,2.034595171,8.25,309.7,58.58333333,1.959895033,912.7723118,2667.9,1,0,87.65,43.7833333333333,935
