year,province,gdp,capital,labor,edu
1999,黑龙江,575.947,1069.85,1701.436,8.595
2000,黑龙江,623.175,1158.92,1657.415,8.683
2001,黑龙江,681.13,1265.87,1632.98,8.82
2002,黑龙江,750.605,1384.27,1628.751,8.849
2003,黑龙江,827.167,1507.43,1624.459,8.97
2004,黑龙江,923.946,1658.32,1622.874,9.039
2005,黑龙江,1031.123,1842.98,1624.586,9.052
2006,黑龙江,1155.889,2088.82,1620.071,8.926
2007,黑龙江,1294.596,2412.421,1637.081,9.1
2008,黑龙江,1447.358,2792.071,1665.009,9.069
2009,黑龙江,1612.357,3387.806,1678.812,9.13
2010,黑龙江,1817.127,3031.598,1715.429,9.421
1990,上海,770.764,1476.38,762.65,8.475
1991,上海,825.488,1629.17,768.4,8.891
1992,上海,947.66,1845.13,768.55,9.1
1993,上海,1090.757,2156.57,752.05,9.308
1994,上海,1248.917,2636.25,751.6,9.725
1995,上海,1427.512,3312.54,765.6,9.934
1996,上海,1614.516,4116.45,766.15,10.142
1997,上海,1821.174,4860.25,767.25,9.969
1998,上海,2008.755,5518.95,720.1,9.995
1999,上海,2217.665,6097.11,673.662,10.388
2000,上海,2461.609,6655.68,675.217,10.35
2001,上海,2720.078,7265.9,682.742,10.492
2002,上海,3027.446,8010.19,717.588,10.372
2003,上海,3399.822,8794.62,757.163,11.157
2004,上海,3882.597,9714.16,791.916,11.222
2005,上海,4325.213,10808.93,834.083,10.779
2006,上海,4874.515,12086.67,871.531,11.378
2007,上海,5615.441,13569.237,881.892,11.327
2008,上海,6160.139,14878.789,886.294,11.412
2009,上海,6665.271,16678.263,912.622,11.637
2010,上海,7351.794,14864.073,926.979,11.233
1990,江苏,631.232,1104.09,3670.45,6.821
1991,江苏,683.609,1257.74,3705.2,7.062
1992,江苏,858.515,1518.96,3724.7,7.183
1993,江苏,1028.443,1838.56,3736.2,7.303
1994,江苏,1197.822,2208.19,3749.7,7.544
1995,江苏,1382.279,2617.26,3760.9,7.665
1996,江苏,1551.29,3081.77,3756.55,7.785
1997,江苏,1736.748,3586.29,3746.6,7.737
1998,江苏,1928.093,4174.48,3690.25,7.826
1999,江苏,2122.695,4805.17,3615.406,8.083
2000,江苏,2347.111,5457.06,3577.326,8.303
2001,江苏,2585.378,6141.2,3562.105,8.489
2002,江苏,2886.943,6963.22,3535.486,8.272
2003,江苏,3279.568,8085.37,3557.926,8.479
2004,江苏,3764.944,9365.44,3664.974,8.507
2005,江苏,4310.861,11029.96,3798.711,8.727
2006,江苏,4953.179,12870.11,3977.663,8.698
2007,江苏,5691.203,14821.853,4135.386,8.721
2008,江苏,6413.985,16997.464,4288.621,8.804
2009,江苏,7209.319,19757.711,4460.1,8.912
2010,江苏,8124.903,17599.542,4633.933,9.513
1990,浙江,389.191,554.7,2509.35,6.525
1991,浙江,458.467,616.57,2553.25,6.763
1992,浙江,545.575,712.5,2610.55,6.881
1993,浙江,665.602,867.74,2642.1,7
1994,浙江,798.722,1075.97,2676.5,7.237
1995,浙江,932.908,1323.26,2697.35,7.355
1996,浙江,1051.387,1607.72,2701.3,7.474
1997,浙江,1168.091,1883.76,2701.1,7.652
1998,浙江,1287.236,2186.08,2675.7,7.699
1999,浙江,1415.96,2501.06,2656.011,7.814
2000,浙江,1571.716,2863.04,2680.696,7.876
2001,浙江,1738.317,3277.58,2736.231,8.009
2002,浙江,1957.345,3755.93,2803.346,8.445
2003,浙江,2245.075,4376.18,2898.293,8.533
2004,浙江,2570.611,5112.12,3026.948,8.857
2005,浙江,2899.649,5917.4,3147.447,8.287
2006,浙江,3302.7,6785.17,3292.692,8.562
2007,浙江,3788.197,7727.171,3498.939,8.517
2008,浙江,4170.805,8641.738,3653.616,8.6
2009,浙江,4542.007,9681.626,3758.519,8.865
2010,浙江,5082.506,8631.353,3907.181,9.194
1990,安徽,162.987,238.57,2784.85,5.889
1991,安徽,161.52,241.84,2859.2,6.165
1992,安徽,188.656,248.04,2936.95,6.303
1993,安徽,223.746,277.43,3015.85,6.441
1994,安徽,256.189,321.49,3084.2,6.716
1995,安徽,292.824,368.09,3163.1,6.854
1996,安徽,330.012,414.82,3226.45,6.992
1997,安徽,368.624,461.39,3283.9,7.212
1998,安徽,399.22,506.62,3316.35,7.127
1999,安徽,435.549,552.27,3311.733,7.142
2000,安徽,471.699,605.06,3342.693,7.298
2001,安徽,513.68,657.04,3381.296,7.693
2002,安徽,562.994,717.52,3396.736,7.494
2003,安徽,615.915,793.37,3409.88,8.018
2004,安徽,697.832,911.73,3434.583,8.092
2005,安徽,774.593,1049.41,3468.936,7.538
2006,安徽,871.417,1215.61,3513.883,7.574
2007,安徽,995.159,1415.201,3570.36,7.531
2008,安徽,1121.544,1650.034,3596.107,7.798
2009,安徽,1266.223,1925.586,3642.17,7.913
2010,安徽,1451.092,1748.032,3768.252,8.402
1990,福建,212.186,223.98,1325,6.373
1991,福建,242.316,239.89,1392.3,6.546
1992,福建,291.507,260.17,1463.2,6.633
1993,福建,357.387,297.88,1505.45,6.719
1994,福建,429.937,362.59,1536.3,6.892
1995,福建,492.707,438.6,1559.3,6.979
1996,福建,558.238,527.69,1580.25,7.065
1997,福建,636.391,623.35,1603.45,7.511
1998,福建,705.121,737.07,1617.65,7.428
1999,福建,774.928,846.69,1626.383,7.528
2000,福建,846.996,954.97,1645.518,7.969
2001,福建,920.685,1061.23,1668.976,8.345
2002,福建,1014.595,1176.94,1694.541,8.151
2003,福建,1131.273,1327.06,1733.985,8.3
2004,福建,1264.763,1521.31,1787.093,8.225
2005,福建,1411.476,1780.94,1843.006,8.275
2006,福建,1620.375,2106.92,1902.348,8.178
2007,福建,1866.671,2522.036,1967.534,8.307
2008,福建,2109.339,3031.975,2039.326,8.362
2009,福建,2368.787,3621.966,2124.318,8.977
2010,福建,2698.049,3252.127,2175.089,9.16
1990,江西,159.22,550.91,1782.15,6.372
1991,江西,172.276,585.94,1825.05,6.582
1992,江西,197.773,662.83,1857.6,6.688
1993,江西,224.868,794.23,1881.65,6.793
1994,江西,244.657,939.38,1950.7,7.003
1995,江西,261.293,1091.85,2033.8,7.108
1996,江西,291.864,1245.23,2061.8,7.213
1997,江西,327.764,1423.85,2071.05,7.653
1998,江西,351.035,1608.1,2024.5,7.604
1999,江西,378.416,1798.02,1966.319,7.731
2000,江西,408.689,2007.03,1948.31,7.834
